sitename,latt,long,alt,old_TL
1,14.00523,100.519403,6,2.22
2,13.7065,100.2812,9,1.65
3,13.6538,100.5223,5,1.78
4,13.635425,100.632181,10,2.43
5,13.6928,100.8972,3,2.3
6,13.80863,100.439,7,2.28
7,15.6353,100.4763,35,1.81
8,14.3066,100.6116,5,1.68
9,18.1284,100.144,158,1.83
10,13.8080602,100.447297,3,2.57
11,13.6538,100.5223,5,3.19
12,15.8226,104.122,135,2.64
13,14.4933,105.0176,179,1.51
14,9.038184,99.175888,9,1.24
15,18.2755,99.4812,242,1.17
16,13.5506,99.8231,12,2.28
17,14.9698,103.0818,170,1.63
18,16.766,103.6491,165,1.75
19,17.011,99.7776,53,1.7
20,18.591,99.0412,292,0.56
21,17.4028,103.1561,199,1.27
22,16.04807,102.7134,171,0.99
23,13.31573,100.9603,9,3.04
24,12.59817,102.0993,9,1.45
25,15.7785,102.0255,183,1.67
26,15.19266,101.7622,211,0.59
27,18.74496,98.96208,311,0.3
28,18.66776,98.91456,304,0.76
29,8.10837,98.92927,15,3.29
30,14.9486,102.0542,202,1.59
31,17.85612,103.7647,157,1.79
32,14.7946,100.672,25,4.77
33,13.9346,100.7142,2,1.43
34,8.457387,99.96393,6,0.99
35,13.8126,100.072,14,2.61
36,14.1226,100.6169,6,2.87
37,13.079,99.9482,17,1.94
38,16.39276,101.1323,120,2.26
39,17.39303,103.7023,166,0.46
40,12.9156,100.894,20,2.21
41,15.5971,103.8083,134,3.16
42,14.0258,100.7433,8,2.99
43,15.65115,101.0871,69,2.06
44,13.51,102.1777,107,3.26
45,13.12712,100.9054,13,4.77
46,13.60859,100.7735,0,2.24
47,13.73641,100.5226,8,2.6
48,13.73641,100.5226,8,2.41
49,13.09784,100.963,31,1.81
50,13.09409,100.9639,26,2.48
51,13.10105,100.9577,26,2.59
52,13.09609,100.9685,32,2.74
53,13.08754,100.9545,17,2.98
54,13.09284,100.9597,27,4.77
55,13.09915,100.9643,28,2.15
56,13.5013,100.1354,6,1.38