Date,PV_avg (kW),PV_Cluster
2023-03-10,1.734431781291115,1
2023-03-11,1.7015853771990237,1
2023-03-12,1.6760701833255727,1
2023-03-13,1.7760145063467732,1
2023-03-14,2.413710963865691,2
2023-03-15,2.3108970630411925,2
2023-03-16,2.1399621093244128,1
2023-03-17,2.2597328505886507,2
2023-03-18,2.178517613901218,1
2023-03-19,2.118524957922601,1
2023-03-26,2.536693133359751,2
2023-03-27,2.3797266138650572,2
2023-03-28,2.398935423166565,2
2023-03-29,2.7188008722957138,2
2023-03-30,2.0328846288952724,1
2023-03-31,2.3307315641324635,2
2023-04-01,2.4021884681537484,2
2023-04-02,2.0432768909338463,1
2023-04-03,2.4668935620827983,2
2023-04-06,2.4949467193057893,2
2023-04-07,0.8562793450108509,0
2023-04-08,2.235037482789291,2
2023-04-09,2.3457806958521914,2
2023-04-11,2.2370902631917593,2
2023-04-12,1.864597438419573,1
2023-04-13,2.0883862415110874,1
2023-04-14,1.8976109170075164,1
2023-04-15,1.866374425126552,1
2023-04-16,0.9348364666623916,0
2023-04-17,2.076411612003596,1
2023-04-18,2.063314623443785,1
2023-04-19,2.186186494027082,2
2023-04-20,2.483201034195521,2
2023-04-21,2.4360836020297483,2
2023-04-22,2.168154930841426,2
2023-04-23,2.4215257809953785,2
2023-04-24,1.611785404598674,1
2023-04-25,1.5974329558865663,1
2023-04-26,0.6880943804863285,0
2023-04-27,2.139199190638254,2
2023-04-28,1.927101827426058,1
2023-04-29,2.3657882913737893,2
2023-04-30,0.8406671871920309,0
2023-05-01,2.0345238006240147,2
2023-05-02,1.5430713228167494,1
2023-05-03,2.3134426975689464,2
2023-05-04,2.5008030808159005,2
2023-05-05,2.511272920952448,2
2023-05-06,2.5150928916748683,2
2023-05-07,2.5122852712021384,2
2023-05-08,2.1236279651655416,2
2023-05-09,2.122446817971253,2
2023-05-10,1.5623151598233826,1
2023-05-11,0.8459493946151733,0
2023-05-12,2.550393069032445,2
2023-05-13,2.3083666871336495,2
2023-05-14,2.5061495717026965,2
2023-05-15,2.3280586254035223,2
2023-05-16,2.227420347261838,2
2023-05-17,2.2486901235551775,2
2023-05-18,2.5430379415108773,2
2023-05-19,2.422522745039747,2
2023-05-20,2.4469407748625502,2
2023-05-21,2.525822431636513,2
2023-05-22,2.3319264448184023,2
2023-05-23,2.190483622164204,2
2023-05-24,1.8298608300314168,1
2023-05-25,1.7701638777162685,1
2023-05-26,2.434566896614253,2
2023-05-27,2.1491930034624085,2
2023-05-28,1.4658958100877018,1
2023-05-29,1.4214584516006301,0
2023-05-30,2.0307728208676172,2
2023-05-31,2.189372059490095,2
2023-06-01,2.246528379230199,2
2023-06-02,2.3060330478295996,2
2023-06-03,2.446978870478762,2
2023-06-04,2.109826058591466,2
2023-06-05,1.9624550367048037,1
2023-06-06,1.8770066131649532,1
2023-06-07,2.0293873966404945,2
2023-06-08,1.7030977362463093,1
2023-06-09,1.0232677506147474,0
2023-06-10,1.2353869147967032,0
2023-06-11,2.304364670188554,2
2023-06-12,1.8364007066717165,1
2023-06-13,1.3736189256497386,0
2023-06-14,1.8332374126697475,1
2023-06-15,1.531343025724074,1
2023-06-16,1.5239379491519938,1
2023-06-17,1.9733128159527702,2
2023-06-18,1.4179828781728057,0
2023-06-19,1.7944568018189015,1
2023-06-20,1.6644407707117315,1
2023-06-21,1.795686011713253,1
2023-06-22,2.083643281992323,2
2023-06-23,2.54936421856846,2
2023-06-24,2.170334433018803,2
2023-06-25,2.0501282743270637,2
2023-06-26,1.6496430621853666,1
2023-06-27,2.4623275906710997,2
2023-06-28,2.1170161031403927,2
2023-06-29,2.520846492063058,2
2023-06-30,1.4599175387672458,1
2023-07-01,1.8477884441341506,1
2023-07-02,1.9189366160576073,1
2023-07-03,1.5791970184355082,1
2023-07-04,1.239453355938338,0
2023-07-05,1.5176797625051746,0
2023-07-06,2.1512038057088168,2
2023-07-07,2.2226715053712325,2
2023-07-08,1.6579551147151512,1
2023-07-09,0.9767102300402544,0
2023-07-10,1.5626050369056417,0
2023-07-11,1.855519489986952,1
2023-07-12,1.9063850256430264,1
2023-07-13,2.241469078880003,2
2023-07-14,2.26486873897677,2
2023-07-15,2.1984788968018494,2
2023-07-16,1.4929562410451818,0
2023-07-17,1.9289541780971666,1
2023-07-18,1.4707083497176343,0
2023-07-19,1.612862484109418,1
2023-07-20,1.5381749830325955,0
2023-07-21,1.7833574534736112,1
2023-07-22,1.8774531981473754,1
2023-07-23,1.6770809167778296,1
2023-07-24,2.127377286589742,2
2023-07-25,1.997619774805731,2
2023-07-26,1.8447438218072874,1
2023-07-27,2.27533018676695,2
2023-07-28,1.9469112615414916,1
2023-07-29,1.7750002502457376,1
2023-07-30,1.1836962211852984,0
2023-07-31,1.2701420756049313,0
2023-08-01,1.5931117473919159,1
2023-08-02,0.9522338658464521,0
2023-08-03,1.2822339270151162,0
2023-08-04,1.3877668736577504,0
2023-08-05,2.083805729452836,2
2023-08-06,1.6749170909207984,1
2023-08-07,1.4843964530086462,0
2023-08-08,2.0136564451268795,2
2023-08-09,1.6046833263671707,1
2023-08-10,1.8233846719579876,1
2023-08-11,2.149597000930866,2
2023-08-12,1.7568227094530697,1
2023-08-13,2.1651418026916107,2
2023-08-14,1.9595621148120816,1
2023-08-15,1.7401828878111043,1
2023-08-16,1.6828005766366465,1
2023-08-17,2.212955062748213,2
2023-08-18,2.4472434289100153,2
2023-08-19,2.551628943864427,2
2023-08-20,1.851051626982169,1
2023-08-21,1.533051304271653,1
2023-08-22,1.8973363834272092,1
2023-08-23,1.5467915879171452,0
2023-08-24,1.5795515651130796,0
2023-08-25,1.8024801948161437,1
2023-08-26,1.6984699427442846,1
2023-08-27,1.8445003677487473,1
2023-08-28,1.7668696672755917,1
2023-08-29,1.5743192698661188,1
2023-08-30,1.375481827752807,0
2023-08-31,2.267379668734644,2
2023-09-01,1.7556319957963686,1
2023-09-02,2.127602024343078,2
2023-09-03,2.1569170877374066,2
2023-09-04,1.8864119838104638,1
2023-09-05,1.4079769170625496,0
2023-09-06,1.3859344378326994,0
2023-09-07,1.351809164850611,0
2023-09-08,1.941960084301705,1
2023-09-09,1.8554768762749172,1
2023-09-10,1.1850193864699758,0
2023-09-11,1.5339202340639693,1
2023-09-12,1.4405631600369162,0
2023-09-13,1.5768752052181032,1
2023-09-14,1.6393334286242158,1
2023-09-15,1.3012682099721526,0
2023-09-16,1.6323720667859434,1
2023-09-17,1.959106700498441,1
2023-09-18,1.8108938459834043,1
2023-09-19,1.7299034770303279,1
2023-09-20,2.0521977267840392,1
2023-09-21,2.396397146324157,2
2023-09-22,1.9886445256032352,1
2023-09-23,1.398045173815003,0
2023-09-24,1.5724272841734892,1
2023-09-25,1.4301520200003857,0
2023-09-26,1.4034303438955285,0
2023-09-27,1.2707581290598562,0
2023-09-28,1.0382976099808612,0
2023-09-29,1.8502847588847515,1
2023-09-30,1.51536091070413,1
2023-10-01,1.767550301010215,1
2023-10-02,1.5970517524430963,1
2023-10-03,1.8915484119698898,1
2023-10-04,0.9242176361836376,0
2023-10-05,1.1217937261300113,0
2023-10-06,1.186431336249322,0
2023-10-07,1.5863400507786052,1
2023-10-08,1.2607252897344903,0
2023-10-09,1.735415811595358,1
2023-10-10,1.0156841785933404,0
2023-10-11,1.482369713925177,0
2023-10-12,1.7565447739836522,1
2023-10-13,1.2922673443656882,0
2023-10-14,2.2135091826334894,2
2023-10-15,1.2228822306769958,0
2023-10-16,1.1746514949047562,0
2023-10-17,1.9612121994756582,1
2023-10-18,1.3250463007541164,0
2023-10-19,0.8823108871187405,0
2023-10-20,1.8705878444847355,1
2023-10-21,1.1537464482875417,0
2023-10-22,1.5281057033406484,0
2023-10-23,1.8761357670327266,1
2023-10-24,1.502896380253223,0
2023-10-25,1.5035879933718586,0
2023-10-26,1.4879835972972721,0
2023-10-27,1.5960962331269206,1
2023-10-28,1.0019122675338394,0
2023-10-29,0.76249967996818,0
2023-10-30,1.6551216933153576,1
2023-10-31,1.7555081218873692,1
2023-11-01,1.5910155059281552,1
2023-11-02,1.4184133290726508,0
2023-11-03,1.5460311976580539,1
2023-11-04,0.9858064302417714,0
2023-11-05,1.2657572601872975,0
2023-11-06,1.496332833225407,0
2023-11-07,1.438611553074108,0
2023-11-08,1.7046718688467948,1
2023-11-09,1.0081670084311816,0
2023-11-10,1.3821965982584066,0
2023-11-11,1.4133402638579977,0
2023-11-12,1.4122476071385417,0
2023-11-13,1.6482540321025076,1
2023-11-14,1.9237512114668354,1
2023-11-15,1.6610193737643066,1
2023-11-16,1.811185789911658,1
2023-11-17,1.7072660949981011,1
2023-11-18,2.133984947611889,1
2023-11-19,2.099812128047083,1
2023-11-20,2.180256733174377,2
2023-11-21,2.040825689547584,1
2023-11-22,1.8669705762209143,1
2023-11-23,1.9412372895820396,1
2023-11-24,2.028423031362145,1
2023-11-25,1.8331562609476775,1
2023-11-26,1.5549656674923509,1
2023-11-27,2.013805354276857,1
2023-11-28,1.6456853907336515,1
2023-11-29,1.2992034908043066,0
2023-11-30,2.001350498411282,1
2023-12-01,1.7869381049677755,1
2023-12-02,1.454137763856307,0
2023-12-03,1.8910164597976902,1
2023-12-04,1.5542991366906878,1
2023-12-05,1.6275279561673444,1
2023-12-06,1.6650380116481942,1
2023-12-07,1.9872121036581378,1
2023-12-08,1.8358063577860049,1
2023-12-09,1.4666985305374558,0
2023-12-10,1.5655312885324097,1
2023-12-11,1.3505973168690821,0
2023-12-12,1.9211754402224128,1
2023-12-13,1.687391755416499,1
2023-12-14,1.7713935021305753,1
2023-12-15,1.5029672497650086,0
2023-12-16,1.7542167033007985,1
2023-12-17,1.9038802164937154,1
2023-12-18,1.8886313976980842,1
2023-12-19,1.7279861083577304,1
2023-12-20,1.5533660072622466,1
2023-12-21,2.0999017967939837,1
2023-12-22,2.085457935668268,1
2023-12-23,2.006146868583446,1
2023-12-24,0.977755823749432,0
2023-12-25,1.249897786319172,0
2023-12-26,1.6438268745948856,1
2023-12-27,1.9123355978143766,1
2023-12-28,1.9486966521454057,1
2023-12-29,1.5856177155510325,1
2023-12-30,1.7506929299794025,1
2023-12-31,1.7346686304064718,1
2024-01-01,1.8000997395844156,1
2024-01-02,1.7687081471339168,1
2024-01-03,2.0627662629173935,2
2024-01-04,1.8907275887519028,1
2024-01-05,1.991021652458383,2
2024-01-06,1.9724905407930506,2
2024-01-07,1.9792841201313223,2
2024-01-08,1.8830297730459453,1
2024-01-09,1.6112039284958994,1
2024-01-10,1.8377063338998056,1
2024-01-11,1.4718150141078155,0
2024-01-12,1.5672552575343273,1
2024-01-13,1.1236328386808143,0
2024-01-14,1.7606798023172687,1
2024-01-15,1.9911548870031595,1
2024-01-16,1.973748360901208,1
2024-01-17,1.8081172688907112,1
2024-01-18,1.8541270813031006,1
2024-01-19,1.4184851561599734,0
2024-01-20,1.7527809742627063,1
2024-01-21,1.7657989242400143,1
2024-01-22,1.641206313927866,1
2024-01-23,0.7112099487950783,0
2024-01-24,1.0359033679372387,0
2024-01-25,1.0135929937830217,0
2024-01-26,1.7406802162230215,1
2024-01-27,1.8126498276816025,1
2024-01-28,1.4773330433500018,0
2024-01-29,1.6749691943159344,1
2024-01-30,1.0194709919726461,0
2024-01-31,1.4364490355670527,0
2024-02-01,1.5556645791946009,1
2024-02-02,1.7350841279501785,1
2024-02-03,1.6662055534684113,1
2024-02-04,1.4339957438843924,0
2024-02-05,1.8804514994493018,1
2024-02-06,2.0579865667342903,1
2024-02-07,2.046139350665606,1
2024-02-08,2.017507888948134,1
2024-02-09,1.9089595400551644,1
2024-02-10,0.66663991015688,0
2024-02-11,2.0883089027113493,1
2024-02-12,2.0704706555733896,1
2024-02-13,2.2592253354795493,2
2024-02-14,2.112692376602737,2
2024-02-15,1.682348449494456,1
2024-02-16,1.6243136799641467,1
2024-02-17,1.490557327346656,0
2024-02-18,1.7182869885007095,1
2024-02-19,2.2372744963068545,2
2024-02-20,2.3115129037894713,2
2024-02-21,1.812272241786369,1
2024-02-22,1.873241340081632,1
2024-02-23,2.0261536555094857,1
2024-02-24,1.9347425684868673,1
2024-02-25,2.0692012785989355,2
2024-02-26,1.587084408269844,1
2024-02-27,1.906259168006759,1
2024-02-28,1.7686696265695705,1
2024-02-29,1.8293725077032412,1
2024-03-01,2.185133216424031,2
2024-03-02,1.7429644082622842,1
2024-03-03,1.744708709436462,1
2024-03-04,2.205027899369256,2
2024-03-05,2.1419158906068407,2
2024-03-06,2.456685327851502,2
2024-03-07,2.297586695439738,2
2024-03-08,1.98423598557032,1
2024-03-09,1.594938495173107,1
2024-03-10,2.1857911862238546,2
2024-03-11,1.8761419922202667,1
2024-03-12,1.5696756941638768,1
2024-03-13,1.5964928609833478,1
2024-03-14,2.2105796920991834,2
2024-03-15,2.134233737698556,2
2024-03-16,1.0827282430126537,0
2024-03-17,2.400625775545476,2
2024-03-18,2.3713286555903093,2
2024-03-19,1.8752026549708105,1
2024-03-20,0.26224287381905315,0
2024-03-21,1.4710894609928498,1
2024-03-22,2.064642471414635,2
2024-03-23,2.3840128540330636,2
2024-03-24,2.0731936930022266,2
2024-03-25,2.130972788745944,2
2024-03-26,1.816951249977361,1
2024-03-27,2.10225056429597,2
2024-03-28,1.8528619749352806,1
2024-03-29,2.1620228994369737,2
2024-03-30,2.46145672348871,2
2024-03-31,2.4116827507305896,2
2024-04-07,2.411486641290167,2
2024-04-08,2.500913949657012,2
2024-04-09,2.316380023207856,2
2024-04-10,1.4855646387735708,0
2024-04-11,2.008654036711525,2
2024-04-12,1.8317199526220829,1
2024-04-13,2.3058524109352962,2
2024-04-14,2.313274192291085,2
2024-04-15,2.373583930551277,2
2024-04-16,2.441612387095365,2
2024-04-17,2.1904330950207123,2
2024-04-21,2.4031247678851377,2
2024-04-22,2.0189526981250503,2
2024-04-23,1.9168723331844233,1
2024-04-24,2.1909729885822395,2
2024-04-25,2.3870160793233857,2
2024-04-26,2.4755523487294,2
2024-04-27,2.2338073511788537,2
2024-04-28,2.138623052394838,2
2024-04-29,2.112768691592924,2
2024-04-30,2.2967990340672424,2
2024-05-01,2.4019836717110894,2
2024-05-02,2.4026393606829783,2
2024-05-03,2.3854668247630495,2
2024-05-04,2.1220887029874667,2
2024-05-05,2.2945725867346303,2
2024-05-06,2.044726223109667,2
2024-05-07,0.28607722841939215,0
2024-05-08,2.2067300851032337,2
2024-05-09,1.5114156986643328,0
2024-05-10,2.066696115294452,2
2024-05-11,1.481799129959497,0
2024-05-16,1.274632314001027,0
2024-05-17,2.268822136511063,2
2024-05-18,1.285462908459185,0
2024-05-19,1.750321001632889,1
2024-05-20,2.3924992193173686,2
2024-05-21,1.3549244600819008,0
2024-05-22,1.9276947447726598,1
2024-05-23,1.2704180096734934,0
2024-05-24,1.5636221832049173,1
2024-05-25,1.8793988217943078,1
2024-05-26,1.929598751568726,1
2024-05-27,2.216079616474883,2
2024-05-28,2.0838520535069316,2
2024-05-29,1.8082510451286702,1
2024-05-30,2.080547608614428,2
2024-05-31,1.9014248201085806,1
2024-06-01,1.3917624363981709,0
2024-06-02,1.9282540579364862,1
2024-06-03,1.917576682443293,1
2024-06-06,1.8274955122624417,1
2024-06-07,1.8060772361505952,1
2024-06-08,1.9953234692541302,1
2024-06-09,1.7493482950731434,1
2024-06-10,1.486860743989932,0
2024-06-11,1.895673690149428,1
2024-06-13,2.2328906583364896,2
2024-06-14,1.9917681819062287,2
2024-06-15,2.5570314490264194,2
2024-06-16,2.268225946675134,2
2024-06-17,2.0485915894386437,2
2024-06-18,2.298488785242792,2
2024-06-19,2.387763182434035,2
2024-06-20,2.4803332642486158,2
2024-06-21,1.9398183703305558,1
2024-06-22,2.073922904610831,2
2024-06-23,1.4386642976686912,0
2024-06-24,1.2744598257244504,0
2024-06-25,1.3742922978551726,0
2024-06-26,0.7396429767315533,0
2024-06-27,1.948284877229247,1
2024-06-28,2.1889600121670414,2
2024-06-29,1.3524682924360447,0
2024-06-30,1.6305456063353467,1
2024-07-01,1.7405973620801467,1
2024-07-02,2.1877709150221034,2
2024-07-03,1.452786601075772,0
2024-07-04,0.8354120656890961,0
2024-07-05,1.5319307404684737,1
2024-07-06,1.993892397045413,2
2024-07-07,2.3333280994137153,2
2024-07-08,1.3315041360923887,0
2024-07-09,1.065627995250752,0
2024-07-12,1.7423594804629177,1
2024-07-13,1.2401667216309322,0
2024-07-14,1.7426476230226515,1
2024-07-15,1.2095241567220996,0
2024-07-16,1.1900439546457948,0
2024-07-17,1.8747661054805405,1
2024-07-18,1.2772186997752337,0
2024-07-19,1.129241948588043,0
2024-07-20,1.1353507575131818,0
2024-07-21,1.4862197508612083,0
2024-07-22,1.2458920817850414,0
2024-07-23,1.425337032382568,0
2024-07-24,1.4087760960371987,0
2024-07-25,1.0662750727976031,0
2024-07-26,1.1859457824357817,0
2024-07-27,1.147624424006281,0
2024-07-28,1.3756887626528338,0
2024-07-29,1.66380027231544,1
2024-07-30,1.4723489734816309,0
2024-07-31,1.4521884115617663,0
2024-08-01,1.5328999423208558,0
2024-08-02,1.0736562091600241,0
2024-08-03,1.011563901470616,0
2024-08-04,1.8088835136607844,1
2024-08-05,2.121296540807409,2
2024-08-06,2.0124368268532575,2
2024-08-07,1.6492580392301412,1
2024-08-09,2.520116058548533,2
2024-08-10,2.358209376874034,2
2024-08-11,2.1726141234946605,2
2024-08-12,1.69654771176519,1
2024-08-13,2.33309574049718,2
2024-08-14,2.0035200889396836,1
2024-08-15,2.2178566920813725,2
2024-08-21,1.6082884291320685,1
2024-08-22,2.1248134268278207,2
2024-08-23,2.2153597752469256,2
2024-08-24,1.6001830388378477,1
2024-08-25,1.5215961153680504,0
2024-08-26,2.078771080976128,2
2024-08-27,2.1942820314173117,2
2024-08-28,1.7265783825367096,1
2024-08-29,1.1095100694737787,0
2024-08-30,1.426999987639167,0
2024-09-01,2.20983307840652,2
2024-09-02,0.9500537448797842,0
2024-09-03,0.9953297356733282,0
2024-09-04,1.6411584023335215,1
2024-09-05,1.8087580288283218,1
2024-09-06,1.929233123474992,1
2024-09-07,1.6776385438390695,1
2024-09-08,1.2750296284390465,0
2024-09-09,1.0559144479972313,0
2024-09-10,1.6291264859724237,1
2024-09-11,1.1401397176529073,0
2024-09-20,1.469457963891834,0
2024-09-21,1.4684955987789359,0
2024-09-22,1.5993162579448963,1
2024-09-23,1.7916452394236597,1
2024-09-24,0.6230848012849571,0
2024-09-25,1.3681464283487177,0
2024-09-26,1.3049299924930797,0
2024-09-27,1.5676910564436022,1
2024-09-28,1.1577106674609274,0
2024-09-30,2.4475143877463683,2
2024-10-01,1.592239780599798,1
2024-10-02,1.8507952481607903,1
2024-10-03,1.7621926741912854,1
2024-10-04,1.368516109738516,0
2024-10-05,1.4851323239016934,0
2024-10-06,1.89275830974697,1
2024-10-07,1.7362326672857562,1
2024-10-08,1.1964079901708993,0
2024-10-09,1.214733164113163,0
2024-10-10,1.603515937110399,1
2024-10-11,2.022801590010141,1
2024-10-12,1.220074761603755,0
2024-10-13,1.2907765204434924,0
2024-10-18,1.684912579586244,1
2024-10-20,1.3154701189140172,0
2024-10-23,1.6873335871725048,1
2024-10-24,1.9190585274417833,1
2024-10-25,1.7702617326773689,1
2024-10-26,2.397740283266439,2
2024-10-28,1.324914594949738,0
2024-10-30,2.119777784391198,1
2024-10-31,2.030215066865884,1
2024-11-01,1.6097975220887029,1
2024-11-02,2.071024814260544,2
2024-11-04,1.6611456699721883,1
2024-11-05,0.9880592578811089,0
2024-11-06,1.001557839005561,0
2024-11-07,1.1731636174409694,0
2024-11-08,1.6230487624919578,1
2024-11-09,1.2645991797252272,0
2024-11-10,1.946406141362724,1
2024-11-11,2.020347520114612,1
2024-11-12,1.5838323055694379,1
2024-11-13,1.7796404686741392,1
2024-11-14,1.4064417145389347,0
2024-11-15,0.8221991571503752,0
2024-11-16,1.3489266846882246,0
2024-11-17,0.9217870047275435,0
2024-11-18,2.0385819322437713,2
2024-11-19,2.127108601847077,2
2024-11-20,2.109348782867474,1
2024-11-21,1.741573751105715,1
2024-11-22,1.8831028376970917,1
2024-11-23,1.7295936226577007,1
2024-11-24,1.690358289259407,1
2024-11-25,1.969716137140695,1
2024-11-26,2.119146175591961,1
2024-11-27,1.9269413237949087,1
2024-11-28,2.1587334183734943,1
2024-11-29,1.8345202449735964,1
2024-11-30,2.0823344168918534,1
2024-12-01,1.9726555381031023,1
2024-12-02,1.865234814644471,1
2024-12-05,1.8331164609029258,1
2024-12-06,1.8652755330996675,1
2024-12-07,1.734767406324808,1
2024-12-08,1.1738058088331367,0
2024-12-09,1.479791857658862,0
2024-12-10,1.8503706244392741,1
2024-12-11,1.8392382233927982,1
2024-12-12,1.3603005064517038,0
2024-12-13,0.6970742336922443,0
2024-12-14,0.8026465340214758,0
2024-12-16,1.3735621370963151,0
2024-12-17,1.9680009956013411,1
2024-12-18,1.9744222219706584,1
2024-12-19,1.9983133999552185,1
2024-12-20,1.8082396826734897,1
2024-12-21,1.786740541717193,1
2024-12-22,1.8090107113499436,1
2024-12-23,1.9702389189342617,1
2024-12-24,1.8827865018760281,1
2024-12-25,1.8142483907651925,1
2024-12-26,1.2361987842444264,0
2024-12-27,1.629647175601999,1
2024-12-28,1.603540585442359,1
2024-12-29,1.5846525724352982,1
2024-12-30,1.9527835815228005,1
2024-12-31,1.9367678668605628,1
